Country Name,Country Code,Year,GDP
Italy,ITA,1960,41915814948.0
Jamaica,JAM,1960,699064380.4
Japan,JPN,1960,47419238274.0
Kenya,KEN,1960,791265459.5
St. Kitts and Nevis,KNA,1960,12366635.75
"Korea, Rep.",KOR,1960,3958811881.0
Liberia,LBR,1960,190495600.0
Libya,LBY,1960,401644248.8
Least developed countries: UN classification,LDC,1960,25396340997.0
Sri Lanka,LKA,1960,1409873950.0
Lower middle income,LMC,1960,84616597002.0
Low & middle income,LMY,1960,282000000000.0
Lesotho,LSO,1960,34579986.17
Late-demographic dividend,LTE,1960,236000000000.0
Luxembourg,LUX,1960,709941874.0
Morocco,MAR,1960,2037154742.0
Madagascar,MDG,1960,673081724.8
Mexico,MEX,1960,13040000000.0
Middle income,MIC,1960,271000000000.0
Myanmar,MMR,1960,545098447.6
Mauritius,MUS,1960,162089563.9
Malaysia,MYS,1960,1916229477.0
North America,NAC,1960,583000000000.0
Niger,NER,1960,449526873.3
Nigeria,NGA,1960,4196174502.0
Netherlands,NLD,1960,13263458995.0
Norway,NOR,1960,5197398721.0
Nepal,NPL,1960,508334414.0
New Zealand,NZL,1960,5536098606.0
OECD members,OED,1960,1060000000000.0
Pakistan,PAK,1960,3749265015.0
Panama,PAN,1960,537147100.0
Philippines,PHL,1960,7515894111.0
Papua New Guinea,PNG,1960,230496036.9
Pre-demographic dividend,PRE,1960,22009956179.0
Puerto Rico,PRI,1960,1691900000.0
Portugal,PRT,1960,3339150158.0
Paraguay,PRY,1960,288884368.0
Post-demographic dividend,PST,1960,1040000000000.0
Rwanda,RWA,1960,119000024.0
South Asia,SAS,1960,47274328379.0
Saudi Arabia,SAU,1960,1748124063.0
Sudan,SDN,1960,1127011494.0
Senegal,SEN,1960,1003692370.0
Singapore,SGP,1960,704751700.3
Sierra Leone,SLE,1960,322151470.6
Somalia,SOM,1960,180459936.8
Sub-Saharan Africa (excluding high income),SSA,1960,33090214944.0
Sub-Saharan Africa,SSF,1960,33100575536.0
Suriname,SUR,1960,99650000.0
Sweden,SWE,1960,15953203853.0
Eswatini,SWZ,1960,35076845.97
Seychelles,SYC,1960,12012024.62
Syrian Arab Republic,SYR,1960,857704431.7
Chad,TCD,1960,313582728.1
East Asia & Pacific (IDA & IBRD countries),TEA,1960,80685253693.0
Togo,TGO,1960,171057069.1
Thailand,THA,1960,2760750861.0
South Asia (IDA & IBRD),TSA,1960,47274328379.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,1960,33100575536.0
Trinidad and Tobago,TTO,1960,535670127.7
Turkiye,TUR,1960,7566666667.0
Tanzania,TZA,1960,2651729807.0
Uganda,UGA,1960,423008385.7
Upper middle income,UMC,1960,180000000000.0
Uruguay,URY,1960,1208333333.0
United States,USA,1960,542000000000.0
St. Vincent and the Grenadines,VCT,1960,13066634.0
"Venezuela, RB",VEN,1960,7663938303.0
World,WLD,1960,1360000000000.0
South Africa,ZAF,1960,8748596501.0
Zambia,ZMB,1960,713000000.0
Zimbabwe,ZWE,1960,1052990400.0
Africa Eastern and Southern,AFE,1961,22307471356.0
Africa Western and Central,AFW,1961,12685662255.0
Australia,AUS,1961,19682883149.0
Austria,AUT,1961,7375454614.0
Burundi,BDI,1961,202999992.0
Belgium,BEL,1961,12561701694.0
Benin,BEN,1961,235668220.5
Burkina Faso,BFA,1961,350247234.3
Bangladesh,BGD,1961,4817580375.0
"Bahamas, The",BHS,1961,190098039.2
Belize,BLZ,1961,29964999.97
Bermuda,BMU,1961,89249985.13
Bolivia,BOL,1961,406000000.0
Barbados,BRB,1961,85363261.49
Botswana,BWA,1961,32902612.87
Central African Republic,CAF,1961,123134583.5
Canada,CAN,1961,41038192838.0
Switzerland,CHE,1961,11713348834.0
Chile,CHL,1961,4829238095.0
China,CHN,1961,50056685957.0
Cote d'Ivoire,CIV,1961,618245634.2
Cameroon,CMR,1961,652777608.3
"Congo, Rep.",COG,1961,151675738.9
Colombia,COL,1961,4540447761.0
Costa Rica,CRI,1961,490325181.6
Caribbean small states,CSS,1961,700032151.4
Germany,DEU,1961,96205728658.0
Denmark,DNK,1961,7058360972.0
Dominican Republic,DOM,1961,654100200.0
Algeria,DZA,1961,2434747056.0
East Asia & Pacific (excluding high income),EAP,1961,71153218973.0
Early-demographic dividend,EAR,1961,140000000000.0
East Asia & Pacific,EAS,1961,158000000000.0
Europe & Central Asia,ECS,1961,469000000000.0
Ecuador,ECU,1961,1753850955.0
Euro area,EMU,1961,280000000000.0
Spain,ESP,1961,14248303793.0
Ethiopia,ETH,1961,1680859514.0
European Union,EUU,1961,317000000000.0
Fragile and conflict affected situations,FCS,1961,32690862791.0
Finland,FIN,1961,5983900493.0
Fiji,FJI,1961,116987784.9
France,FRA,1961,67461644222.0
Gabon,GAB,1961,167637907.1
United Kingdom,GBR,1961,77741965703.0
Ghana,GHA,1961,1309859155.0
Greece,GRC,1961,4961399303.0
Guatemala,GTM,1961,1076699900.0
Guyana,GUY,1961,185849535.4
High income,HIC,1961,1170000000000.0
"Hong Kong SAR, China",HKG,1961,1383681651.0
Honduras,HND,1961,356200000.0
Heavily indebted poor countries (HIPC),HPC,1961,20466946574.0
Haiti,HTI,1961,271066000.0
IBRD only,IBD,1961,322000000000.0
IDA & IBRD total,IBT,1961,369000000000.0
IDA total,IDA,1961,44012577180.0
IDA blend,IDB,1961,13173849239.0
IDA only,IDX,1961,31781533969.0
India,IND,1961,39232435784.0
Ireland,IRL,1961,2151772980.0
"Iran, Islamic Rep.",IRN,1961,4426949095.0
Iraq,IRQ,1961,1671960965.0
Iceland,ISL,1961,257703244.6
Israel,ISR,1961,3687339032.0
Italy,ITA,1961,46542216715.0
Jamaica,JAM,1961,748043500.8
Japan,JPN,1961,57266758180.0
Kenya,KEN,1961,792959472.8
St. Kitts and Nevis,KNA,1961,12483302.13
"Korea, Rep.",KOR,1961,2417628737.0
Liberia,LBR,1961,183920900.0
Libya,LBY,1961,443905611.6
Least developed countries: UN classification,LDC,1961,27210618723.0
Sri Lanka,LKA,1961,1444327731.0
Lower middle income,LMC,1961,90186836257.0
Low & middle income,LMY,1961,279000000000.0
Lesotho,LSO,1961,35699985.72
Late-demographic dividend,LTE,1961,216000000000.0
Luxembourg,LUX,1961,710163719.4
Morocco,MAR,1961,2025693540.0
Madagascar,MDG,1961,699161944.6
Mexico,MEX,1961,14160000000.0
Middle income,MIC,1961,267000000000.0
Myanmar,MMR,1961,605581577.3
Middle East & North Africa (excluding high income),MNA,1961,16859956001.0
Mauritania,MRT,1961,159213430.2
Mauritius,MUS,1961,191757729.4
Malaysia,MYS,1961,1901856123.0
North America,NAC,1961,603000000000.0
Niger,NER,1961,485785231.0
Nigeria,NGA,1961,4467287893.0
Netherlands,NLD,1961,14578381188.0
Norway,NOR,1961,5669689210.0
Nepal,NPL,1961,531959561.6
New Zealand,NZL,1961,5721995118.0
OECD members,OED,1961,1130000000000.0
Pakistan,PAK,1961,4118647627.0
Panama,PAN,1961,599026300.0
Philippines,PHL,1961,8171194425.0
Papua New Guinea,PNG,1961,244832039.2
Pre-demographic dividend,PRE,1961,23330571461.0
Puerto Rico,PRI,1961,1865100000.0
Portugal,PRT,1961,3573719085.0
Paraguay,PRY,1961,322053713.2
Post-demographic dividend,PST,1961,1100000000000.0
Rwanda,RWA,1961,122000016.0
South Asia,SAS,1961,50467431650.0
Saudi Arabia,SAU,1961,1920811284.0
Sudan,SDN,1961,1223563218.0
Senegal,SEN,1961,1058975257.0
Singapore,SGP,1961,764629788.1
Sierra Leone,SLE,1961,327979248.4
Somalia,SOM,1961,191659914.4
Sub-Saharan Africa (excluding high income),SSA,1961,34977868084.0
Sub-Saharan Africa,SSF,1961,34987537580.0
Suriname,SUR,1961,107700000.0
Sweden,SWE,1961,17354781171.0
Eswatini,SWZ,1961,43026042.79
Seychelles,SYC,1961,11592023.76
Syrian Arab Republic,SYR,1961,945244992.2
Chad,TCD,1961,333975336.1
East Asia & Pacific (IDA & IBRD countries),TEA,1961,71080358604.0
Togo,TGO,1961,178497098.3
Thailand,THA,1961,3034037811.0
Middle East & North Africa (IDA & IBRD countries),TMN,1961,16704026753.0
South Asia (IDA & IBRD),TSA,1961,50467431650.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,1961,34987537580.0
Trinidad and Tobago,TTO,1961,584961208.7
Tunisia,TUN,1961,866155428.6
Turkiye,TUR,1961,7988888889.0
Tanzania,TZA,1961,2826179031.0
Uganda,UGA,1961,441524109.0
Upper middle income,UMC,1961,169000000000.0
Uruguay,URY,1961,1600000000.0
United States,USA,1961,562000000000.0
St. Vincent and the Grenadines,VCT,1961,13999965.0
"Venezuela, RB",VEN,1961,8067267031.0
World,WLD,1961,1440000000000.0
South Africa,ZAF,1961,9225996310.0
Zambia,ZMB,1961,696285714.3
Zimbabwe,ZWE,1961,1096646600.0
Africa Eastern and Southern,AFE,1962,23702472100.0
Africa Western and Central,AFW,1962,13606829297.0
Australia,AUS,1962,19922563188.0
Austria,AUT,1962,7823686765.0
Burundi,BDI,1962,213500006.0
Belgium,BEL,1962,13436827167.0
Benin,BEN,1962,236434954.0
Burkina Faso,BFA,1962,379567099.2
Bangladesh,BGD,1962,5081413542.0
"Bahamas, The",BHS,1962,212254902.0
Belize,BLZ,1962,31857591.86
Bermuda,BMU,1962,94149984.31
Bolivia,BOL,1962,443916666.7
Barbados,BRB,1962,88782065.45
Botswana,BWA,1962,35644956.64
Central African Republic,CAF,1962,124482773.8
Canada,CAN,1962,42336211556.0
Switzerland,CHE,1962,12989649694.0
Chile,CHL,1962,5631285444.0
China,CHN,1962,47209186415.0
Cote d'Ivoire,CIV,1962,645284473.7
Cameroon,CMR,1962,694247864.4
"Congo, Rep.",COG,1962,166521239.7
Colombia,COL,1962,4955538219.0
Costa Rica,CRI,1962,479180824.3
Caribbean small states,CSS,1962,751070761.9
Germany,DEU,1962,106000000000.0
Denmark,DNK,1962,7953274452.0
Dominican Republic,DOM,1962,824100000.0
Algeria,DZA,1962,2001444544.0
East Asia & Pacific (excluding high income),EAP,1962,64897470662.0
Early-demographic dividend,EAR,1962,144000000000.0
East Asia & Pacific,EAS,1962,162000000000.0
Europe & Central Asia,ECS,1962,513000000000.0
Ecuador,ECU,1962,1518207704.0
Euro area,EMU,1962,310000000000.0
Spain,ESP,1962,16621504913.0
Ethiopia,ETH,1962,1747566307.0
European Union,EUU,1962,350000000000.0
Fragile and conflict affected situations,FCS,1962,35607386321.0
Finland,FIN,1962,6407225035.0
Fiji,FJI,1962,122906435.0
France,FRA,1962,75607529810.0
Gabon,GAB,1962,182796536.3
United Kingdom,GBR,1962,81247564157.0
Ghana,GHA,1962,1390140845.0
Equatorial Guinea,GNQ,1962,9122751.453
Greece,GRC,1962,5213043168.0
Guatemala,GTM,1962,1143600000.0
Guyana,GUY,1962,194949512.6
High income,HIC,1962,1260000000000.0
"Hong Kong SAR, China",HKG,1962,1612346412.0
Honduras,HND,1962,387750000.0
Heavily indebted poor countries (HIPC),HPC,1962,21702560908.0
Haiti,HTI,1962,281896800.0
IBRD only,IBD,1962,327000000000.0
IDA & IBRD total,IBT,1962,378000000000.0
IDA total,IDA,1962,46765307423.0
IDA blend,IDB,1962,14087733811.0
IDA only,IDX,1962,33656896745.0
India,IND,1962,42161481858.0
Ireland,IRL,1962,2329372972.0
"Iran, Islamic Rep.",IRN,1962,4693566416.0
Iraq,IRQ,1962,1784174541.0
Iceland,ISL,1962,289200704.4
Israel,ISR,1962,2949160177.0
Italy,ITA,1962,52293346805.0
Jamaica,JAM,1962,777727688.9
Japan,JPN,1962,64987857542.0
Kenya,KEN,1962,868111400.8
St. Kitts and Nevis,KNA,1962,12541635.31
"Korea, Rep.",KOR,1962,2814615385.0
Kuwait,KWT,1962,1828107503.0
Liberia,LBR,1962,191861800.0
Libya,LBY,1962,619725784.7
Least developed countries: UN classification,LDC,1962,28791232467.0
Sri Lanka,LKA,1962,1434156379.0
Lower middle income,LMC,1962,92181987015.0
Low & middle income,LMY,1962,283000000000.0
Lesotho,LSO,1962,41859983.26
Late-demographic dividend,LTE,1962,215000000000.0
Luxembourg,LUX,1962,747846862.2
Morocco,MAR,1962,2379611125.0
Madagascar,MDG,1962,739286907.6
Mexico,MEX,1962,15200000000.0
Middle income,MIC,1962,271000000000.0
Myanmar,MMR,1962,634528872.0
Middle East & North Africa (excluding high income),MNA,1962,17721013431.0
Mauritania,MRT,1962,164271557.6
Mauritius,MUS,1962,197738207.8
Malaysia,MYS,1962,2001489602.0
North America,NAC,1962,646000000000.0
Niger,NER,1962,531736599.3
Nigeria,NGA,1962,4909399176.0
Netherlands,NLD,1962,15824293506.0
Norway,NOR,1962,6107076929.0
Nepal,NPL,1962,574091101.2
New Zealand,NZL,1962,6133158805.0
OECD members,OED,1962,1220000000000.0
Pakistan,PAK,1962,4310163797.0
Panama,PAN,1962,652120900.0
Philippines,PHL,1962,4954593072.0
Papua New Guinea,PNG,1962,261184041.8
Pre-demographic dividend,PRE,1962,25039969601.0
Puerto Rico,PRI,1962,2094400000.0
Portugal,PRT,1962,3835883663.0
Paraguay,PRY,1962,360698412.7
Post-demographic dividend,PST,1962,1190000000000.0
Rwanda,RWA,1962,125000008.0
South Asia,SAS,1962,53905757721.0
Saudi Arabia,SAU,1962,2130606532.0
Sudan,SDN,1962,1329022989.0
Senegal,SEN,1962,1085475791.0
Singapore,SGP,1962,826239211.8
Sierra Leone,SLE,1962,342872712.4
Somalia,SOM,1962,203531927.5
Sub-Saharan Africa (excluding high income),SSA,1962,37290528805.0
Sub-Saharan Africa,SSF,1962,37301164846.0
Suriname,SUR,1962,116150000.0
Sweden,SWE,1962,18821353529.0
Eswatini,SWZ,1962,45927961.63
Seychelles,SYC,1962,12642025.92
Syrian Arab Republic,SYR,1962,1110565864.0
Chad,TCD,1962,357635713.4
East Asia & Pacific (IDA & IBRD countries),TEA,1962,64831016133.0
Togo,TGO,1962,186745757.9
Thailand,THA,1962,3308912797.0
Middle East & North Africa (IDA & IBRD countries),TMN,1962,17557120697.0
South Asia (IDA & IBRD),TSA,1962,53905757721.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,1962,37301164846.0
Trinidad and Tobago,TTO,1962,619319197.3
Tunisia,TUN,1962,880027733.3
Turkiye,TUR,1962,8922222222.0
Tanzania,TZA,1962,3101589993.0
Uganda,UGA,1962,449012578.6
Upper middle income,UMC,1962,170000000000.0
Uruguay,URY,1962,1763636364.0
United States,USA,1962,604000000000.0
St. Vincent and the Grenadines,VCT,1962,14524963.69
"Venezuela, RB",VEN,1962,8814309884.0
World,WLD,1962,1540000000000.0
South Africa,ZAF,1962,9813996074.0
Zambia,ZMB,1962,693142857.1
Zimbabwe,ZWE,1962,1117601600.0
Africa Eastern and Southern,AFE,1963,25779376633.0
Africa Western and Central,AFW,1963,14439975114.0
Australia,AUS,1963,21539843446.0
Austria,AUT,1963,8447136820.0
Burundi,BDI,1963,232749998.0
Belgium,BEL,1963,14445805381.0
Benin,BEN,1963,253927697.3
Burkina Faso,BFA,1963,394040667.1
Bangladesh,BGD,1963,5319458563.0
"Bahamas, The",BHS,1963,237745098.0
Belize,BLZ,1963,33750113.75
Bermuda,BMU,1963,96366650.61
Bolivia,BOL,1963,478000000.0
Barbados,BRB,1963,99893178.34
Botswana,BWA,1963,38091842.85
Central African Republic,CAF,1963,129379123.8
Canada,CAN,1963,45140337827.0
Switzerland,CHE,1963,14283872299.0
Chile,CHL,1963,5591307028.0
China,CHN,1963,50706614526.0
Cote d'Ivoire,CIV,1963,761047198.0
Cameroon,CMR,1963,718320845.0
"Congo, Rep.",COG,1963,172233430.7
Colombia,COL,1963,4836166667.0
Costa Rica,CRI,1963,511902136.8
Caribbean small states,CSS,1963,783055216.4
Germany,DEU,1963,112000000000.0
Denmark,DNK,1963,8466044672.0
Dominican Republic,DOM,1963,940799900.0
Algeria,DZA,1963,2702982018.0
East Asia & Pacific (excluding high income),EAP,1963,70193946313.0
Early-demographic dividend,EAR,1963,162000000000.0
East Asia & Pacific,EAS,1963,181000000000.0
Europe & Central Asia,ECS,1963,561000000000.0
Ecuador,ECU,1963,1824343870.0
Euro area,EMU,1963,341000000000.0
Spain,ESP,1963,19645746986.0
Ethiopia,ETH,1963,1825058828.0
European Union,EUU,1963,385000000000.0
Fragile and conflict affected situations,FCS,1963,38028727377.0
Finland,FIN,1963,6958296429.0
Fiji,FJI,1963,129454728.6
France,FRA,1963,84759195106.0
Gabon,GAB,1963,154480244.1
United Kingdom,GBR,1963,86561961812.0
Ghana,GHA,1963,1549295775.0
Equatorial Guinea,GNQ,1963,10840095.13
Greece,GRC,1963,5895281432.0
Guatemala,GTM,1963,1262800000.0
Guyana,GUY,1963,175757893.9
High income,HIC,1963,1360000000000.0
"Hong Kong SAR, China",HKG,1963,1935298266.0
Honduras,HND,1963,410200000.0
Heavily indebted poor countries (HIPC),HPC,1963,23202556343.0
Haiti,HTI,1963,294883400.0
IBRD only,IBD,1963,361000000000.0
IDA & IBRD total,IBT,1963,414000000000.0
IDA total,IDA,1963,49114642122.0
IDA blend,IDB,1963,14916251701.0
IDA only,IDX,1963,35196758489.0
India,IND,1963,48421923459.0
Ireland,IRL,1963,2505073358.0
"Iran, Islamic Rep.",IRN,1963,4928628018.0
Iraq,IRQ,1963,1805901510.0
Iceland,ISL,1963,345175036.1
Israel,ISR,1963,3515690733.0
Italy,ITA,1963,59897871868.0
Jamaica,JAM,1963,826706669.3
Japan,JPN,1963,74379284603.0
Kenya,KEN,1963,926589349.4
St. Kitts and Nevis,KNA,1963,12833301.25
"Korea, Rep.",KOR,1963,3988461538.0
Kuwait,KWT,1963,1900895857.0
Liberia,LBR,1963,200229600.0
Libya,LBY,1963,892327911.1
Least developed countries: UN classification,LDC,1963,30202790676.0
Sri Lanka,LKA,1963,1240672269.0
Lower middle income,LMC,1963,102000000000.0
Low & middle income,LMY,1963,312000000000.0
Lesotho,LSO,1963,47039981.18
Late-demographic dividend,LTE,1963,228000000000.0
Luxembourg,LUX,1963,797902154.2
Morocco,MAR,1963,2657252578.0
Madagascar,MDG,1963,759345863.7
Mexico,MEX,1963,16960000000.0
Middle income,MIC,1963,299000000000.0
Myanmar,MMR,1963,598998418.7
Middle East & North Africa (excluding high income),MNA,1963,20017082638.0
Mauritania,MRT,1963,168186297.2
Mauritius,MUS,1963,253839557.9
Malaysia,MYS,1963,2510110348.0
North America,NAC,1963,682000000000.0
Niger,NER,1963,586294878.7
Nigeria,NGA,1963,5165590254.0
Netherlands,NLD,1963,17168477020.0
Norway,NOR,1963,6553269536.0
Nepal,NPL,1963,496947904.4
New Zealand,NZL,1963,6699741943.0
OECD members,OED,1963,1320000000000.0
Pakistan,PAK,1963,4630827383.0
Panama,PAN,1963,722784500.0
Philippines,PHL,1963,5505023238.0
Papua New Guinea,PNG,1963,275968044.2
Pre-demographic dividend,PRE,1963,26565248500.0
Puerto Rico,PRI,1963,2333600000.0
Portugal,PRT,1963,4084251593.0
Paraguay,PRY,1963,383904761.9
Post-demographic dividend,PST,1963,1290000000000.0
Rwanda,RWA,1963,128000000.0
South Asia,SAS,1963,60496393964.0
Saudi Arabia,SAU,1963,2207393171.0
Sudan,SDN,1963,1352011494.0
Senegal,SEN,1963,1122139862.0
Singapore,SGP,1963,917608012.5
Sierra Leone,SLE,1963,348700653.6
Somalia,SOM,1963,216145935.9
Sub-Saharan Africa (excluding high income),SSA,1963,40204671362.0
Sub-Saharan Africa,SSF,1963,40216476668.0
Suriname,SUR,1963,125950000.0
Sweden,SWE,1963,20371666154.0
Eswatini,SWZ,1963,54129438.35
Seychelles,SYC,1963,13923028.54
Syrian Arab Republic,SYR,1963,1200447429.0
Chad,TCD,1963,371767002.2
East Asia & Pacific (IDA & IBRD countries),TEA,1963,70122068233.0
Togo,TGO,1963,202305865.2
Thailand,THA,1963,3540403457.0
Middle East & North Africa (IDA & IBRD countries),TMN,1963,19831954716.0
South Asia (IDA & IBRD),TSA,1963,60496393964.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,1963,40216476668.0
Trinidad and Tobago,TTO,1963,678235373.0
Tunisia,TUN,1963,1026737600.0
Turkiye,TUR,1963,10355555556.0
Tanzania,TZA,1963,3456579293.0
Uganda,UGA,1963,516147798.7
Upper middle income,UMC,1963,187000000000.0
Uruguay,URY,1963,1553333333.0
United States,USA,1963,637000000000.0
St. Vincent and the Grenadines,VCT,1963,13708299.06
"Venezuela, RB",VEN,1963,9608717288.0
World,WLD,1963,1660000000000.0
South Africa,ZAF,1963,10854195658.0
Zambia,ZMB,1963,718714285.7
Zimbabwe,ZWE,1963,1159511700.0
Africa Eastern and Southern,AFE,1964,28049537325.0
Africa Western and Central,AFW,1964,15769107620.0
Australia,AUS,1964,23801123808.0
Austria,AUT,1964,9249879079.0
Burundi,BDI,1964,260750008.0
Belgium,BEL,1964,16168044450.0
Benin,BEN,1964,269819005.9
Burkina Faso,BFA,1964,410321645.0
Bangladesh,BGD,1964,5386054833.0
"Bahamas, The",BHS,1964,266666666.7
Belize,BLZ,1964,36194586.19
Bermuda,BMU,1964,107566648.7
Bolivia,BOL,1964,538583333.3
Barbados,BRB,1964,99252152.59
Botswana,BWA,1964,41616347.79
Central African Republic,CAF,1964,142025078.7
Canada,CAN,1964,49503663836.0
Switzerland,CHE,1964,15833133858.0
Chile,CHL,1964,5964195925.0
China,CHN,1964,59708125204.0
Cote d'Ivoire,CIV,1964,921063326.6
Cameroon,CMR,1964,776650176.9
"Congo, Rep.",COG,1964,185693724.9
Colombia,COL,1964,5973366667.0
Costa Rica,CRI,1964,542578367.2
Caribbean small states,CSS,1964,850013068.4
Germany,DEU,1964,123000000000.0
Denmark,DNK,1964,9677400985.0
Dominican Republic,DOM,1964,1025599900.0
Algeria,DZA,1964,2909316435.0
East Asia & Pacific (excluding high income),EAP,1964,81084335638.0
Early-demographic dividend,EAR,1964,180000000000.0
East Asia & Pacific,EAS,1964,208000000000.0
Europe & Central Asia,ECS,1964,620000000000.0
Ecuador,ECU,1964,2244146103.0
Euro area,EMU,1964,378000000000.0
Spain,ESP,1964,21982577365.0
Ethiopia,ETH,1964,1984129185.0
European Union,EUU,1964,427000000000.0
Fragile and conflict affected situations,FCS,1964,38274770246.0
Finland,FIN,1964,7848288358.0
Fiji,FJI,1964,140032741.5
France,FRA,1964,94007851047.0
Gabon,GAB,1964,215679855.3
United Kingdom,GBR,1964,94407558351.0
Ghana,GHA,1964,1740845070.0
Equatorial Guinea,GNQ,1964,12712471.4
Greece,GRC,1964,6669669850.0
Guatemala,GTM,1964,1299099900.0
Guyana,GUY,1964,194774513.1
High income,HIC,1964,1480000000000.0
"Hong Kong SAR, China",HKG,1964,2206466461.0
Honduras,HND,1964,457000000.0
Heavily indebted poor countries (HIPC),HPC,1964,25329361323.0
Haiti,HTI,1964,325281200.0
IBRD only,IBD,1964,410000000000.0
IDA & IBRD total,IBT,1964,465000000000.0
IDA total,IDA,1964,52679532945.0
IDA blend,IDB,1964,16283554670.0
IDA only,IDX,1964,37395760696.0
India,IND,1964,56480289941.0
Ireland,IRL,1964,2851091646.0
"Iran, Islamic Rep.",IRN,1964,5379845648.0
Iraq,IRQ,1964,2136408198.0
Iceland,ISL,1964,440797869.3
Israel,ISR,1964,4001288352.0
Italy,ITA,1964,65569646710.0
Jamaica,JAM,1964,897949000.8
Japan,JPN,1964,87490590818.0
Kenya,KEN,1964,998759334.5
St. Kitts and Nevis,KNA,1964,13416633.13
"Korea, Rep.",KOR,1964,3459019943.0
Kuwait,KWT,1964,2071668533.0
Liberia,LBR,1964,218929100.0
Libya,LBY,1964,1341395422.0
Least developed countries: UN classification,LDC,1964,31642936961.0
Sri Lanka,LKA,1964,1309747899.0
Lower middle income,LMC,1964,115000000000.0
Low & middle income,LMY,1964,355000000000.0
Lesotho,LSO,1964,51939979.22
Late-demographic dividend,LTE,1964,263000000000.0
Luxembourg,LUX,1964,910877686.3
Morocco,MAR,1964,2798345299.0
Madagascar,MDG,1964,802482183.7
Mexico,MEX,1964,20080000000.0
Middle income,MIC,1964,341000000000.0
Myanmar,MMR,1964,411419905.8
Middle East & North Africa (excluding high income),MNA,1964,22275305018.0
Mauritania,MRT,1964,224495743.8
Mauritius,MUS,1964,218914569.1
Malaysia,MYS,1964,2674423922.0
North America,NAC,1964,734000000000.0
Niger,NER,1964,582816396.4
Nigeria,NGA,1964,5552931319.0
Netherlands,NLD,1964,20202316519.0
Norway,NOR,1964,7206522122.0
Nepal,NPL,1964,496098775.3
New Zealand,NZL,1964,7340766741.0
OECD members,OED,1964,1440000000000.0
Pakistan,PAK,1964,5204955901.0
Panama,PAN,1964,776137500.0
Philippines,PHL,1964,5953756195.0
Papua New Guinea,PNG,1964,305312048.8
Pre-demographic dividend,PRE,1964,29004299685.0
Puerto Rico,PRI,1964,2570500000.0
Portugal,PRT,1964,4429202657.0
Paraguay,PRY,1964,408349206.3
Post-demographic dividend,PST,1964,1400000000000.0
Rwanda,RWA,1964,129999994.0
South Asia,SAS,1964,69320094074.0
Saudi Arabia,SAU,1964,2371808713.0
Sudan,SDN,1964,1389080460.0
